Periodo,Producción Diaria (Kb/d),Precio del Crudo (USD/bbl),Crecimiento PIB (% anual),Deuda/PIB (%),Reservas Probadas (Mb),Ingresos Petroleros al PGE (% PIB),Recaudación IVA (USD millones),Déficit Primario (% PIB),Empleo Adecuado (% PEA),Ratio R/P (Años),Exportaciones Petroleras (USD M),Inversión Pública (% PIB)
2005 T1,524.9067368349923,44.37021277910243,4.46323433875893,25.94971578190932,1783.609439054,8.987719842630765,3794.042631458205,1.0213123057800888,46.444902431185575,9.203189764363692,7936.0395952446925,14.0861005296237
2005 T2,542.6399061788893,44.976384882930844,4.596527603496868,23.982194561771973,1856.4330987265841,9.004404520018129,4026.7618627542065,1.0435318994922478,46.194968454980405,9.466286846692078,7778.439159699001,13.93643904707947
2005 T3,533.0915951614927,44.65638683577722,4.53698777412229,24.704238157365516,1771.2208013262948,9.234395519219186,3862.1799370322015,0.9818545852324055,48.69914855525277,9.664888669803773,7654.944982501756,14.038601273678651
2005 T4,537.622533921663,44.019365550176985,4.441216064372158,25.270675380383395,1796.1671359383758,9.023999649207354,4035.5836331367045,1.0446429880689432,46.74038108360356,9.43792063815235,7989.813174749338,13.85946842094609
2006 T1,531.9416370143335,54.91556134226776,4.83096905980382,23.93796512500286,1805.1826121454235,10.256976609586518,4114.252083857282,0.4348449998854909,49.62761386968485,9.098885725138702,9321.707639410593,14.267791481862044
2006 T2,524.1432986468511,56.915901710021465,4.803625218841995,24.2103451348308,1773.0456704154813,10.031540605721583,4256.863890560995,0.48798537646636503,50.524360368728814,8.98306068478659,9159.451215883206,14.03192186053789
2006 T3,533.9893182457618,54.973660898396126,4.878352635965674,23.864966188125464,1766.4549081172488,10.322885645115333,4207.014530984598,0.390735020825609,48.972625024065835,8.944437365927598,9232.361408284673,14.422332568164482
2006 T4,538.5813865525691,53.087802672277526,4.855119848190017,23.908705479974767,1758.797340661067,10.084826238159534,4159.110114308131,0.373281997504015,50.68615230637765,9.271879411483946,9785.497423412402,14.964245592312636
2007 T1,514.2441786479967,66.09781039670507,4.9745931028499175,23.587011705362723,1772.2449095510124,12.424132799704585,4583.1715495434655,0.9376095472704774,49.470981743512795,9.216751368586245,10501.27593731523,15.428502979250098
2007 T2,525.3534484424048,65.51731583866372,5.028123585564725,23.671916502762105,1781.2603235911336,12.040950932999852,4385.027227707122,0.9845827547167937,48.37225662559284,9.241770878519409,11367.555089414505,14.21821632588067
2007 T3,513.8264771767667,59.60291189027773,5.089780879136629,22.795128967619732,1759.7618674478563,12.077399013140608,4556.3868730424565,1.1281877746215656,49.83593062510903,9.559097484502324,11025.069658810831,15.156313051472269
2007 T4,496.17969619248873,63.046324368454776,5.015298659098844,24.14137650165855,1715.7822506175899,12.133332179468386,4553.789461156872,1.029898068374144,48.39556262011409,9.453901568858678,10757.686645310645,14.755583580086725
2008 T1,500.2844762862967,84.50271002543231,6.031741345823366,23.033937397761445,1738.5815989003215,15.154466453146071,5048.366989305642,1.9956915409507556,51.631709445916144,9.062960422763156,14261.333536429462,17.510587766912984
2008 T2,480.85069163520296,85.17543251962243,6.013715836328474,20.46912511397336,1733.0595185405334,15.576362201794806,4899.137221300957,1.931937805953208,50.17587610125571,9.27211285159501,14134.555111860354,17.69432919320697
2008 T3,492.24082486121125,85.83577278006501,6.0093881332000105,22.824024971261757,1720.3610175508286,14.885572141423614,4988.918907449855,2.09219703420114,51.007802081668494,9.342602715154445,14318.646768331355,17.958764153248257
2008 T4,501.3148185999336,85.10980157955403,6.020330784859085,21.93692727533128,1688.0453475496522,15.329390039907626,5091.303434141829,2.1186755865753177,50.25613544949763,9.268625083356197,14230.634348284251,17.75018612615997
2009 T1,479.57086889254174,56.278010749844704,0.5953542091980457,23.252420778220028,1687.8518299659397,8.580743868653531,4696.233154725713,3.9815311899893104,47.78284941286517,9.696390574652282,8461.44548176822,22.211274542546285
2009 T2,468.67480630369647,55.80888865181409,0.5217055220899677,22.885924551094714,1689.0095569596747,9.044760463217937,4717.955776370564,3.9290412464126128,47.163800344670534,9.873577154562316,8754.16269147033,22.578633637800106
2009 T3,475.1538966179076,56.299875457580725,0.4829951143909724,21.851827985917566,1719.4934051665016,9.149105359887615,4899.228992248273,4.006022073185738,48.84717748356038,9.617566261056014,8698.136911523672,22.09199087182515
2009 T4,488.4658931213035,55.63032599654009,0.5117501506262307,22.587771242294277,1668.9795852541247,9.452060423166593,4851.051749623795,3.943912937398544,43.72151211935836,9.490170923202847,9227.017374509527,22.074222571807017
2010 T1,481.70352491220905,75.27141283547296,2.929778746041727,24.824917612542997,1690.0831860079882,12.003805599402677,5074.679305281757,1.9983277262762467,45.38150494807419,9.7931953211854,12152.401089297955,24.49908685675169
2010 T2,487.05918068974574,73.98121157521811,3.032594252812996,22.834406995258234,1661.4597284480158,12.1238629294174,5293.745749590474,2.033589148234095,45.99521703633326,9.328919088858928,12003.502902783546,23.4075768790484
2010 T3,479.88647146406174,74.81473101640611,3.033721771859266,23.25353497246104,1715.1142325352246,11.996196028123338,5263.534490453773,2.1049827531942324,45.97794263772273,9.691612041517818,12303.536065383025,24.2771760174327
2010 T4,491.13198558686065,72.74804496517577,3.000484384615481,23.719145113238998,1639.7300150417182,11.814232574365027,5276.03135454193,1.9333929761039879,45.36304349289619,9.712569250311578,12082.073917916323,23.880406769697398
